date	smile	browfurrow	browrise	valence	engagement	lipcornerdepressor
19:48:02.657	0	0	0	0	0	0
19:48:02.804	8	0	0	8	8	0
19:48:02.951	0	0	3	0	3	0
19:48:03.098	0	0	4	0	4	0
19:48:03.242	0	0	1	0	1	0
19:48:03.389	0	0	1	0	1	0
19:48:03.535	0	0	1	0	1	0
19:48:03.717	0	0	1	0	1	0
19:48:03.866	1	0	0	1	1	0
19:48:04.011	35	0	0	35	35	0
19:48:04.158	65	0	0	65	65	0
19:48:04.303	85	0	0	85	85	0
19:48:04.451	77	0	0	77	77	0
19:48:04.600	83	0	0	83	83	0
19:48:04.752	92	0	0	92	92	0
19:48:05.668	91	0	0	91	91	0
19:48:05.873	0	0	6	0	6	0
19:48:06.073	0	0	5	0	5	0
19:48:06.238	0	0	3	0	3	0
19:48:06.416	0	0	3	0	3	0
19:48:06.613	0	0	1	0	1	0
19:48:06.773	0	0	0	0	0	0
19:48:06.921	0	0	0	0	0	0
19:48:07.074	0	0	0	0	0	0
19:48:07.220	0	0	1	0	1	0
19:48:07.368	0	0	1	0	1	0
19:48:07.517	0	0	1	0	1	0
19:48:07.674	0	0	1	0	1	0
19:48:07.822	0	0	0	0	0	0
19:48:07.967	0	0	0	0	0	0
19:48:08.125	0	0	0	0	0	0
19:48:08.275	0	0	0	0	0	0
19:48:08.421	0	0	0	0	0	0
19:48:08.569	0	0	0	0	0	0
19:48:08.714	0	0	0	0	0	0
19:48:08.862	0	0	0	0	0	0
19:48:09.013	0	0	2	0	2	0
19:48:09.162	0	0	14	0	14	0
19:48:09.311	0	0	52	0	52	0
19:48:09.457	0	0	87	0	87	0
19:48:09.606	0	0	92	0	92	0
19:48:09.757	0	0	93	0	93	0
19:48:09.915	0	0	98	0	98	0
19:48:10.065	0	0	99	0	99	0
19:48:10.214	0	0	99	0	99	0
19:48:10.363	0	0	99	0	99	0
19:48:10.517	0	0	99	0	99	0
19:48:10.666	0	0	99	0	99	0
19:48:10.818	0	0	99	0	99	0
19:48:10.966	0	0	99	0	99	0
19:48:11.118	0	0	99	0	99	0
19:48:11.344	0	0	99	0	99	0
19:48:11.514	0	0	99	0	99	0
19:48:11.677	0	0	99	0	99	0
19:48:11.862	0	0	99	0	99	0
19:48:12.023	0	0	97	0	97	0
19:48:12.184	0	0	98	0	98	0
19:48:12.342	0	0	98	0	98	0
19:48:12.505	0	0	98	0	98	0
19:48:12.664	0	0	97	0	97	0
19:48:15.706	0	98	99	-98	99	0
